Grab table?,Which Stations?,1st Destination,2nd Destination,3rd Destination,4th Destination,5th Destination,6th Destination,7th Destination,8th Destination,9th Destination,10th Destination,11th Destination,12th Destination,13th Destination,Leave line?,"If Yes, which station(s)?",More food?,"If Yes, which stations?"
Yes,"Global Market,Grill,Drinks,Fruit",Global Market,Fruit,Grill,Drinks,,,,,,,,,,No,,Yes,"Family Meal,Global Market,Grill,Fruit"
No,"Global Market,Water/Juices,Deli",Global Market,Deli,Water/Juices,,,,,,,,,,,No,,Yes,
No,"Grill,Special,Drinks",Grill,Special,Drinks,,,,,,,,,,,No,,Yes,Drinks
No,"Family Meal,Pizza",Family Meal,Pizza,,,,,,,,,,,,No,,Yes,Drinks
Yes,"Global Market,Grill",Global Market,Grill,,,,,,,,,,,,No,,Yes,Family Meal
No,"Grill,Pizza,Drinks",Pizza,Grill,Drinks,,,,,,,,,,,No,,Yes,"Drinks,"
Yes,"Family Meal,Global Market",Family Meal,Global Market,,,,,,,,,,,,Yes,Global Market,No,
Yes,"Global Market,Salad Bar,Water/Juices",Salad Bar,Global Market,Water/Juices,,,,,,,,,,,No,,No,
Yes,"Global Market,Fruit",Global Market,Fruit,,,,,,,,,,,,Yes,Grill,Yes,Global Market
No,"Vegan,Salad Bar,Water/Juices",Vegan,Salad Bar,Water/Juices,,,,,,,,,,,No,,No,
Yes,"Family Meal,Global Market,Special,Soups,Salad Bar,Water/Juices,Fruit",Fruit,Global Market,Special,Salad Bar,Soups,Water/Juices,Family Meal,,,,,,,No,,Yes,Family Meal
Yes,Family Meal,Family Meal,,,,,,,,,,,,,No,,,
Yes,"Global Market,Grill,Drinks",Global Market,Grill,Drinks,,,,,,,,,,,,,,
Yes,"Family Meal,Global Market,Gluten Free,Water/Juices,Drinks",Drinks,Water/Juices,Gluten Free,Family Meal,Global Market,,,,,,,,,No,,Yes,Family Meal
No,Water/Juices,Water/Juices,,,,,,,,,,,,,,,,
Yes,"Pizza,Salad Bar,Drinks,Fruit,",Pizza,Salad Bar,Fruit,Drinks,,,,,,,,,,No,,Yes,"Salad Bar,Water/Juices,Drinks"
No,"Global Market,Grill,Special,Drinks",Global Market,Grill,Special,Drinks,,,,,,,,,,No,,No,
Yes,"Global Market,Drinks",Global Market,Drinks,,,,,,,,,,,,No,,Yes,Global Market
Yes,"Global Market,Gluten Free",Gluten Free,Global Market,,,,,,,,,,,,No,,Yes,"Global Market,Water/Juices"
Yes,"Family Meal,Grill,Water/Juices",Family Meal,Grill,Water/Juices,,,,,,,,,,,No,,Yes,"Pizza,Water/Juices"
Yes,"Family Meal,Grill,Drinks",Family Meal,Grill,Drinks,,,,,,,,,,,No,,No,
Yes,"Global Market,Pizza,Special,Vegan,Salad Bar",Global Market,Vegan,Special,Salad Bar,Pizza,,,,,,,,,No,,Yes,"Grill,Vegan,Salad Bar,Water/Juices,"
Yes,"Family Meal,Global Market",Family Meal,Global Market,,,,,,,,,,,,No,,Yes,"Global Market,Fruit"
Yes,"Family Meal,Global Market,Special,Salad Bar",Special,Salad Bar,Family Meal,Global Market,,,,,,,,,,Yes,Global Market,Yes,Drinks
Yes,"Special,Water/Juices",Water/Juices,Special,,,,,,,,,,,,Yes,"Family Meal,Grill",No,
Yes,"Grill,Salad Bar",Grill,Salad Bar,,,,,,,,,,,,Yes,Global Market,Yes,Drinks
Yes,"Global Market,Gluten Free,Water/Juices",Global Market,Gluten Free,Salad Bar,,,,,,,,,,,Yes,"Global Market,Gluten Free",No,
Yes,"Global Market,Pizza,Special,Drinks",Global Market,Special,Pizza,Drinks,,,,,,,,,,Yes,Soups,No,
Yes,"Family Meal,Global Market,Salad Bar,Drinks",Family Meal,Global Market,Drinks,Salad Bar,,,,,,,,,,No,,No,
Yes,"Grill,Gluten Free,Vegan,Soups,Salad Bar,Drinks,Fruit,",Grill,Vegan,Gluten Free,Salad Bar,Soups,Drinks,,Fruit,,,,,,No,,Yes,"Water/Juices,"
Yes,Family Meal,Family Meal,,,,,,,,,,,,,Yes,"Family Meal,Grill,Salad Bar,Deli",Yes,"Grill,Special,Gluten Free"
Yes,"Grill,Salad Bar,Drinks",Salad Bar,Grill,Drinks,,,,,,,,,,,No,,No,
Yes,"Grill,Vegan,Water/Juices",Vegan,Grill,Water/Juices,,,,,,,,,,,No,,Yes,"Water/Juices,"
Yes,"Family Meal,Global Market,Grill,Gluten Free,Salad Bar,Bread",Family Meal,Global Market,Grill,Gluten Free,Salad Bar,Bread,,,,,,,,No,,Yes,"Global Market,Gluten Free"
Yes,"Family Meal,Global Market,Drinks,Fruit",Family Meal,Global Market,Drinks,Fruit,,,,,,,,,,Yes,Global Market,No,
Yes,"Global Market,Vegan,Salad Bar,Bread",Bread,Vegan,Global Market,Salad Bar,,,,,,,,,,No,,No,
Yes,"Family Meal,Vegan,Salad Bar,Bread",Bread,Family Meal,Vegan,Salad Bar,,,,,,,,,,No,,Yes,"Family Meal,Fruit,Bread"
Yes,"Global Market,Water/Juices",Global Market,Water/Juices,,,,,,,,,,,,No,,Yes,"Family Meal,Gluten Free,Soups"
